éûçè,ëD1,ëD2,ëD3
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,37.04,0,0
11,74.08,0,0
12,111.12,0,0
13,148.16,0,0
14,185.2,0,0
15,222.24,0,0
16,259.28,0,0
17,296.32,0,0
18,333.36,0,0
19,370.4,37.04,0
20,407.44,74.08,0
21,444.48,111.12,0
22,481.52,148.16,0
23,518.56,185.2,0
24,555.6,222.24,0
25,592.64,259.28,0
26,629.68,296.32,0
27,666.72,333.36,0
28,703.76,370.4,37.04
29,740.8,407.44,74.08
30,777.84,444.48,111.12
31,800,481.52,148.16
32,800,518.56,185.2
33,800,555.6,222.24
34,800,592.64,259.28
35,800,629.68,296.32
36,800,666.72,333.36
37,800,703.76,370.4
38,800,740.8,407.44
39,800,777.84,444.48
40,800,800,481.52
41,800,800,518.56
42,800,800,555.6
43,800,800,592.64
44,800,800,629.68
45,800,800,666.72
46,800,800,703.76
47,800,800,740.8
48,800,800,777.84
49,800,800,800
50,800,800,800
51,800,800,800
52,800,800,800
53,800,800,800
54,800,800,800
55,800,800,800
56,800,800,800
57,800,800,800
58,762.96,800,800
59,725.92,800,800
60,688.88,800,800
61,651.84,800,800
62,614.8,800,800
63,577.76,800,800
64,540.72,800,800
65,503.68,800,800
66,466.64,800,800
67,429.6,800,800
68,392.56,800,800
69,355.52,800,800
70,318.48,800,800
71,281.44,800,800
72,244.4,800,800
73,207.36,800,800
74,170.32,800,800
75,133.28,800,800
76,96.24,800,800
77,59.2,800,800
78,22.16,800,800
79,0,800,800
80,0,800,800
81,0,800,800
82,0,800,800
83,0,762.96,800
84,0,725.92,800
85,0,688.88,800
86,0,651.84,800
87,0,614.8,800
88,0,577.76,800
89,0,540.72,800
90,37.04,503.68,800
91,74.08,466.64,800
92,111.12,429.6,800
93,148.16,392.56,800
94,185.2,355.52,800
95,222.24,318.48,800
96,259.28,281.44,800
97,296.32,244.4,800
98,333.36,207.36,800
99,370.4,170.32,800
100,407.44,133.28,800
101,444.48,96.24,800
102,481.52,59.2,800
103,518.56,22.16,800
104,555.6,0,800
105,592.64,0,800
106,629.68,0,800
107,666.72,0,800
108,703.76,0,762.96
109,740.8,0,725.92
110,777.84,0,688.88
111,800,0,651.84
112,800,0,614.8
113,800,0,577.76
114,800,0,540.72
115,800,37.04,503.68
116,800,74.08,466.64
117,800,111.12,429.6
118,800,148.16,392.56
119,800,185.2,355.52
120,800,222.24,318.48
121,800,259.28,281.44
122,800,296.32,244.4
123,800,333.36,207.36
124,800,370.4,170.32
125,800,407.44,133.28
126,800,444.48,96.24
127,800,481.52,59.2
128,800,518.56,22.16
129,800,555.6,0
130,800,592.64,0
131,800,629.68,0
132,800,666.72,0
133,800,703.76,0
134,800,740.8,0
135,800,777.84,0
136,800,800,0
137,800,800,0
138,762.96,800,0
139,725.92,800,0
140,688.88,800,37.04
141,651.84,800,74.08
142,614.8,800,111.12
143,577.76,800,148.16
144,540.72,800,185.2
145,503.68,800,222.24
146,466.64,800,259.28
147,429.6,800,296.32
148,392.56,800,333.36
149,355.52,800,370.4
150,318.48,800,407.44
151,281.44,800,444.48
152,244.4,800,481.52
153,207.36,800,518.56
154,170.32,800,555.6
155,133.28,800,592.64
156,96.24,800,629.68
157,59.2,800,666.72
158,22.16,800,703.76
159,0,800,740.8
160,0,800,777.84
161,0,800,800
162,0,800,800
163,0,762.96,800
164,0,725.92,800
165,0,688.88,800
166,0,651.84,800
167,0,614.8,800
168,0,577.76,800
169,0,540.72,800
170,37.04,503.68,800
171,74.08,466.64,800
172,111.12,429.6,800
173,148.16,392.56,800
174,185.2,355.52,800
175,222.24,318.48,800
176,259.28,281.44,800
177,296.32,244.4,800
178,333.36,207.36,800
179,370.4,170.32,800
180,407.44,133.28,800
181,444.48,96.24,800
182,481.52,59.2,800
183,518.56,22.16,800
184,555.6,0,800
185,592.64,0,800
186,629.68,0,800
187,666.72,0,800
188,703.76,0,762.96
189,740.8,0,725.92
190,777.84,0,688.88
191,800,0,651.84
192,800,0,614.8
193,800,0,577.76
194,800,0,540.72
195,800,37.04,503.68
196,800,74.08,466.64
197,800,111.12,429.6
198,800,148.16,392.56
199,800,185.2,355.52
200,800,222.24,318.48
201,800,259.28,281.44
202,800,296.32,244.4
203,800,333.36,207.36
204,800,370.4,170.32
205,800,407.44,133.28
206,800,444.48,96.24
207,800,481.52,59.2
208,800,518.56,22.16
209,800,555.6,0
210,800,592.64,0
211,800,629.68,0
212,800,666.72,0
213,800,703.76,0
214,800,740.8,0
215,800,777.84,0
216,800,800,0
217,800,800,0
218,762.96,800,0
219,725.92,800,0
220,688.88,800,37.04
221,651.84,800,74.08
222,614.8,800,111.12
223,577.76,800,148.16
224,540.72,800,185.2
225,503.68,800,222.24
226,466.64,800,259.28
227,429.6,800,296.32
228,392.56,800,333.36
229,355.52,800,370.4
230,318.48,800,407.44
231,281.44,800,444.48
232,244.4,800,481.52
233,207.36,800,518.56
234,170.32,800,555.6
235,133.28,800,592.64
236,96.24,800,629.68
237,59.2,800,666.72
238,22.16,800,703.76
239,0,800,740.8
240,0,800,777.84
