時刻,船1,船1のstatus,船2,船2のstatus,船3,船3のstatus
0,0,Wait_H,0,Wait_H,0,Wait_H
1,0,Wait_H,0,Wait_H,0,Wait_H
2,0,Harbor,0,Wait_H,0,Harbor
3,0,Harbor,0,Wait_H,0,Harbor
4,0,Harbor,0,Wait_H,0,Harbor
5,0,Harbor,0,Wait_H,0,Harbor
6,37.04,Harbor,0,Wait_H,0,Harbor
7,74.08,Going,0,Harbor,0,Harbor
8,111.12,Going,0,Harbor,0,Harbor
9,148.16,Going,0,Harbor,0,Harbor
10,185.2,Going,0,Harbor,37.04,Harbor
11,222.24,Going,0,Harbor,74.08,Going
12,259.28,Going,0,Harbor,111.12,Going
13,296.32,Going,0,Harbor,148.16,Going
14,333.36,Going,0,Harbor,185.2,Going
15,370.4,Going,0,Harbor,222.24,Going
16,407.44,Going,0,Harbor,259.28,Going
17,444.48,Going,0,Harbor,296.32,Going
18,481.52,Going,0,Harbor,333.36,Going
19,518.56,Going,37.04,Harbor,370.4,Going
20,555.6,Going,74.08,Going,407.44,Going
21,592.64,Going,111.12,Going,444.48,Going
22,629.68,Going,148.16,Going,481.52,Going
23,666.72,Going,185.2,Going,518.56,Going
24,703.76,Going,222.24,Going,555.6,Going
25,740.8,Going,259.28,Going,592.64,Going
26,777.84,Going,296.32,Going,629.68,Going
27,800,Going,333.36,Going,666.72,Going
28,800,Wait_P,370.4,Going,703.76,Going
29,800,Plant,407.44,Going,740.8,Going
30,800,Plant,444.48,Going,777.84,Going
31,800,Plant,481.52,Going,800,Going
32,800,Plant,518.56,Going,800,Wait_P
33,800,Plant,555.6,Going,800,Plant
34,800,Plant,592.64,Going,800,Plant
35,800,Plant,629.68,Going,800,Plant
36,800,Plant,666.72,Going,800,Plant
37,800,Plant,703.76,Going,800,Plant
38,800,Plant,740.8,Going,800,Plant
39,800,Plant,777.84,Going,800,Plant
40,800,Plant,800,Going,800,Plant
41,800,Plant,800,Wait_P,800,Plant
42,800,Plant,800,Wait_P,800,Plant
43,762.96,Plant,800,Wait_P,800,Plant
44,725.92,Return,800,Plant,800,Plant
45,688.88,Return,800,Plant,800,Plant
46,651.84,Return,800,Plant,800,Plant
47,614.8,Return,800,Plant,800,Plant
48,577.76,Return,800,Plant,800,Plant
49,540.72,Return,800,Plant,800,Plant
50,503.68,Return,800,Plant,800,Plant
51,466.64,Return,800,Plant,800,Plant
52,429.6,Return,800,Plant,800,Plant
53,392.56,Return,800,Plant,800,Plant
54,355.52,Return,800,Plant,800,Plant
55,318.48,Return,800,Plant,762.96,Plant
56,281.44,Return,800,Plant,725.92,Return
57,244.4,Return,800,Plant,688.88,Return
58,207.36,Return,800,Plant,651.84,Return
59,170.32,Return,800,Plant,614.8,Return
60,133.28,Return,800,Plant,577.76,Return
61,96.24,Return,800,Plant,540.72,Return
62,59.2,Return,800,Plant,503.68,Return
63,22.16,Return,800,Plant,466.64,Return
64,0,Return,800,Plant,429.6,Return
65,0,Wait_H,800,Plant,392.56,Return
66,0,Harbor,800,Plant,355.52,Return
67,0,Harbor,800,Plant,318.48,Return
68,0,Harbor,800,Plant,281.44,Return
69,0,Harbor,800,Plant,244.4,Return
70,0,Harbor,800,Plant,207.36,Return
71,0,Harbor,800,Plant,170.32,Return
72,0,Harbor,800,Plant,133.28,Return
73,0,Harbor,800,Plant,96.24,Return
74,37.04,Harbor,800,Plant,59.2,Return
75,74.08,Going,800,Plant,22.16,Return
76,111.12,Going,800,Plant,0,Return
77,148.16,Going,800,Plant,0,Wait_H
78,185.2,Going,800,Plant,0,Harbor
79,222.24,Going,800,Plant,0,Harbor
80,259.28,Going,762.96,Plant,0,Harbor
81,296.32,Going,725.92,Return,0,Harbor
82,333.36,Going,688.88,Return,0,Harbor
83,370.4,Going,651.84,Return,0,Harbor
84,407.44,Going,614.8,Return,0,Harbor
85,444.48,Going,577.76,Return,0,Harbor
86,481.52,Going,540.72,Return,37.04,Harbor
87,518.56,Going,503.68,Return,74.08,Going
88,555.6,Going,466.64,Return,111.12,Going
89,592.64,Going,429.6,Return,148.16,Going
90,629.68,Going,392.56,Return,185.2,Going
91,666.72,Going,355.52,Return,222.24,Going
92,703.76,Going,318.48,Return,259.28,Going
93,740.8,Going,281.44,Return,296.32,Going
94,777.84,Going,244.4,Return,333.36,Going
95,800,Going,207.36,Return,370.4,Going
96,800,Wait_P,170.32,Return,407.44,Going
97,800,Plant,133.28,Return,444.48,Going
98,800,Plant,96.24,Return,481.52,Going
99,800,Plant,59.2,Return,518.56,Going
100,800,Plant,22.16,Return,555.6,Going
101,800,Plant,0,Return,592.64,Going
102,800,Plant,0,Wait_H,629.68,Going
103,800,Plant,0,Harbor,666.72,Going
104,800,Plant,0,Harbor,703.76,Going
105,800,Plant,0,Harbor,740.8,Going
106,800,Plant,0,Harbor,777.84,Going
107,800,Plant,0,Harbor,800,Going
108,800,Plant,0,Harbor,800,Wait_P
109,800,Plant,0,Harbor,800,Plant
110,800,Plant,0,Harbor,800,Plant
111,800,Plant,37.04,Harbor,800,Plant
112,800,Plant,74.08,Going,800,Plant
113,800,Plant,111.12,Going,800,Plant
114,800,Plant,148.16,Going,800,Plant
115,762.96,Plant,185.2,Going,800,Plant
116,725.92,Return,222.24,Going,800,Plant
117,688.88,Return,259.28,Going,800,Plant
118,651.84,Return,296.32,Going,800,Plant
119,614.8,Return,333.36,Going,800,Plant
120,577.76,Return,370.4,Going,800,Plant
121,540.72,Return,407.44,Going,800,Plant
122,503.68,Return,444.48,Going,800,Plant
123,466.64,Return,481.52,Going,800,Plant
124,429.6,Return,518.56,Going,800,Plant
125,392.56,Return,555.6,Going,800,Plant
126,355.52,Return,592.64,Going,800,Plant
127,318.48,Return,629.68,Going,800,Plant
128,281.44,Return,666.72,Going,800,Plant
129,244.4,Return,703.76,Going,800,Plant
130,207.36,Return,740.8,Going,800,Plant
131,170.32,Return,777.84,Going,800,Plant
132,133.28,Return,800,Going,800,Plant
133,96.24,Return,800,Wait_P,800,Plant
134,59.2,Return,800,Plant,800,Plant
135,22.16,Return,800,Plant,800,Plant
136,0,Return,800,Plant,762.96,Plant
137,0,Wait_H,800,Plant,725.92,Return
138,0,Harbor,800,Plant,688.88,Return
139,0,Harbor,800,Plant,651.84,Return
140,0,Harbor,800,Plant,614.8,Return
141,0,Harbor,800,Plant,577.76,Return
142,0,Harbor,800,Plant,540.72,Return
143,0,Harbor,800,Plant,503.68,Return
144,0,Harbor,800,Plant,466.64,Return
145,0,Harbor,800,Plant,429.6,Return
146,37.04,Harbor,800,Plant,392.56,Return
147,74.08,Going,800,Plant,355.52,Return
148,111.12,Going,800,Plant,318.48,Return
149,148.16,Going,800,Plant,281.44,Return
150,185.2,Going,800,Plant,244.4,Return
151,222.24,Going,800,Plant,207.36,Return
152,259.28,Going,800,Plant,170.32,Return
153,296.32,Going,800,Plant,133.28,Return
154,333.36,Going,800,Plant,96.24,Return
155,370.4,Going,800,Plant,59.2,Return
156,407.44,Going,800,Plant,22.16,Return
157,444.48,Going,800,Plant,0,Return
158,481.52,Going,800,Plant,0,Wait_H
159,518.56,Going,800,Plant,0,Harbor
160,555.6,Going,800,Plant,0,Harbor
161,592.64,Going,762.96,Plant,0,Harbor
162,629.68,Going,725.92,Return,0,Harbor
163,666.72,Going,688.88,Return,0,Harbor
164,703.76,Going,651.84,Return,0,Harbor
165,740.8,Going,614.8,Return,0,Harbor
166,777.84,Going,577.76,Return,0,Harbor
167,800,Going,540.72,Return,37.04,Harbor
168,800,Wait_P,503.68,Return,74.08,Going
169,800,Plant,466.64,Return,111.12,Going
170,800,Plant,429.6,Return,148.16,Going
171,800,Plant,392.56,Return,185.2,Going
172,800,Plant,355.52,Return,222.24,Going
173,800,Plant,318.48,Return,259.28,Going
174,800,Plant,281.44,Return,296.32,Going
175,800,Plant,244.4,Return,333.36,Going
176,800,Plant,207.36,Return,370.4,Going
177,800,Plant,170.32,Return,407.44,Going
178,800,Plant,133.28,Return,444.48,Going
179,800,Plant,96.24,Return,481.52,Going
180,800,Plant,59.2,Return,518.56,Going
181,800,Plant,22.16,Return,555.6,Going
182,800,Plant,0,Return,592.64,Going
183,800,Plant,0,Wait_H,629.68,Going
184,800,Plant,0,Harbor,666.72,Going
185,800,Plant,0,Harbor,703.76,Going
186,800,Plant,0,Harbor,740.8,Going
187,800,Plant,0,Harbor,777.84,Going
188,800,Plant,0,Harbor,800,Going
189,800,Plant,0,Harbor,800,Wait_P
190,800,Plant,0,Harbor,800,Plant
191,800,Plant,0,Harbor,762.96,Plant
192,800,Plant,37.04,Harbor,725.92,Return
193,800,Plant,74.08,Going,688.88,Return
194,800,Plant,111.12,Going,651.84,Return
195,800,Plant,148.16,Going,614.8,Return
196,800,Plant,185.2,Going,577.76,Return
197,800,Plant,222.24,Going,540.72,Return
198,800,Plant,259.28,Going,503.68,Return
199,800,Plant,296.32,Going,466.64,Return
200,800,Plant,333.36,Going,429.6,Return
201,800,Plant,370.4,Going,392.56,Return
202,800,Plant,407.44,Going,355.52,Return
203,800,Plant,444.48,Going,318.48,Return
204,800,Plant,481.52,Going,281.44,Return
205,800,Plant,518.56,Going,244.4,Return
206,800,Plant,555.6,Going,207.36,Return
207,800,Plant,592.64,Going,170.32,Return
208,800,Plant,629.68,Going,133.28,Return
209,800,Plant,666.72,Going,96.24,Return
210,800,Plant,703.76,Going,59.2,Return
211,800,Plant,740.8,Going,22.16,Return
212,800,Plant,777.84,Going,0,Return
213,800,Plant,800,Going,0,Wait_H
214,800,Plant,800,Wait_P,0,Harbor
215,800,Plant,800,Wait_P,0,Harbor
216,762.96,Plant,800,Wait_P,0,Harbor
217,725.92,Return,800,Plant,0,Harbor
218,688.88,Return,800,Plant,0,Harbor
219,651.84,Return,800,Plant,0,Harbor
220,614.8,Return,800,Plant,0,Harbor
221,577.76,Return,800,Plant,0,Harbor
222,540.72,Return,800,Plant,37.04,Harbor
223,503.68,Return,800,Plant,74.08,Going
224,466.64,Return,800,Plant,111.12,Going
225,429.6,Return,800,Plant,148.16,Going
226,392.56,Return,800,Plant,185.2,Going
227,355.52,Return,800,Plant,222.24,Going
228,318.48,Return,800,Plant,259.28,Going
229,281.44,Return,800,Plant,296.32,Going
230,244.4,Return,800,Plant,333.36,Going
231,207.36,Return,800,Plant,370.4,Going
232,170.32,Return,800,Plant,407.44,Going
233,133.28,Return,800,Plant,444.48,Going
234,96.24,Return,800,Plant,481.52,Going
235,59.2,Return,800,Plant,518.56,Going
236,22.16,Return,800,Plant,555.6,Going
237,0,Return,800,Plant,592.64,Going
238,0,Wait_H,800,Plant,629.68,Going
239,0,Harbor,800,Plant,666.72,Going
240,0,Harbor,800,Plant,703.76,Going
