時刻,船1の位置,船2の位置,船3の位置,船1のstatus,船2のstatus,船3のstatus,船1の輸送量,船2の輸送量,船3の輸送量,タンクの貯蔵量
0,0,0,0,Harbor,Wait_H,Wait_H,0,0,0,0
1,0,0,0,Harbor,Wait_H,Wait_H,0,0,0,0
2,0,0,0,Harbor,Wait_H,Wait_H,0,0,0,0
3,0,0,0,Harbor,Wait_H,Wait_H,136,0,0,0
4,0,0,0,Harbor,Wait_H,Wait_H,272,0,0,0
5,0,0,0,Harbor,Wait_H,Wait_H,408,0,0,0
6,0,0,0,Harbor,Wait_H,Wait_H,544,0,0,0
7,0,0,0,Harbor,Wait_H,Wait_H,680,0,0,0
8,0,0,0,Harbor,Wait_H,Wait_H,816,0,0,0
9,0,0,0,Harbor,Wait_H,Wait_H,952,0,0,0
10,0,0,0,Harbor,Wait_H,Wait_H,1088,0,0,0
11,0,0,0,Harbor,Wait_H,Wait_H,1224,0,0,0
12,0,0,0,Harbor,Wait_H,Wait_H,1360,0,0,0
13,0,0,0,Harbor,Wait_H,Wait_H,1496,0,0,0
14,0,0,0,Harbor,Wait_H,Wait_H,1632,0,0,0
15,0,0,0,Harbor,Wait_H,Wait_H,1768,0,0,0
16,0,0,0,Harbor,Wait_H,Wait_H,1904,0,0,0
17,0,0,0,Harbor,Wait_H,Wait_H,2040,0,0,0
18,0,0,0,Harbor,Wait_H,Wait_H,2176,0,0,0
19,0,0,0,Harbor,Wait_H,Wait_H,2312,0,0,0
20,0,0,0,Harbor,Wait_H,Wait_H,2448,0,0,0
21,0,0,0,Harbor,Wait_H,Wait_H,2584,0,0,0
22,0,0,0,Harbor,Wait_H,Wait_H,2720,0,0,0
23,0,0,0,Harbor,Wait_H,Wait_H,2856,0,0,0
24,0,0,0,Harbor,Wait_H,Wait_H,2992,0,0,0
25,0,0,0,Harbor,Wait_H,Wait_H,3000,0,0,0
26,0,0,0,Going,Harbor,Wait_H,3000,0,0,0
27,37.04,0,0,Going,Harbor,Wait_H,3000,0,0,0
28,74.08,0,0,Going,Harbor,Wait_H,3000,0,0,0
29,111.12,0,0,Going,Harbor,Wait_H,3000,136,0,0
30,148.16,0,0,Going,Harbor,Wait_H,3000,272,0,0
31,185.2,0,0,Going,Harbor,Wait_H,3000,408,0,0
32,222.24,0,0,Going,Harbor,Wait_H,3000,544,0,0
33,259.28,0,0,Going,Harbor,Wait_H,3000,680,0,0
34,296.32,0,0,Going,Harbor,Wait_H,3000,816,0,0
35,333.36,0,0,Going,Harbor,Wait_H,3000,952,0,0
36,370.4,0,0,Going,Harbor,Wait_H,3000,1088,0,0
37,407.44,0,0,Going,Harbor,Wait_H,3000,1224,0,0
38,444.48,0,0,Going,Harbor,Wait_H,3000,1360,0,0
39,481.52,0,0,Going,Harbor,Wait_H,3000,1496,0,0
40,518.56,0,0,Going,Harbor,Wait_H,3000,1632,0,0
41,555.6,0,0,Going,Harbor,Wait_H,3000,1768,0,0
42,592.64,0,0,Going,Harbor,Wait_H,3000,1904,0,0
43,629.68,0,0,Going,Harbor,Wait_H,3000,2040,0,0
44,666.72,0,0,Going,Harbor,Wait_H,3000,2176,0,0
45,703.76,0,0,Going,Harbor,Wait_H,3000,2312,0,0
46,740.8,0,0,Going,Harbor,Wait_H,3000,2448,0,0
47,777.84,0,0,Going,Harbor,Wait_H,3000,2584,0,0
48,800,0,0,Plant,Harbor,Wait_H,3000,2720,0,0
49,800,0,0,Plant,Harbor,Wait_H,3000,2856,0,0
50,800,0,0,Plant,Harbor,Wait_H,3000,2992,0,0
51,800,0,0,Plant,Harbor,Wait_H,3000,3000,0,0
52,800,0,0,Plant,Going,Harbor,3000,3000,0,0
53,800,37.04,0,Plant,Going,Harbor,3000,3000,0,0
54,800,74.08,0,Plant,Going,Harbor,2850,3000,0,0
55,800,111.12,0,Plant,Going,Harbor,2700,3000,136,0
56,800,148.16,0,Plant,Going,Harbor,2550,3000,272,0
57,800,185.2,0,Plant,Going,Harbor,2400,3000,408,0
58,800,222.24,0,Plant,Going,Harbor,2250,3000,544,0
59,800,259.28,0,Plant,Going,Harbor,2100,3000,680,0
60,800,296.32,0,Plant,Going,Harbor,1950,3000,816,0
61,800,333.36,0,Plant,Going,Harbor,1800,3000,952,0
62,800,370.4,0,Plant,Going,Harbor,1650,3000,1088,0
63,800,407.44,0,Plant,Going,Harbor,1500,3000,1224,0
64,800,444.48,0,Plant,Going,Harbor,1350,3000,1360,0
65,800,481.52,0,Plant,Going,Harbor,1200,3000,1496,0
66,800,518.56,0,Plant,Going,Harbor,1050,3000,1632,0
67,800,555.6,0,Plant,Going,Harbor,900,3000,1768,0
68,800,592.64,0,Plant,Going,Harbor,750,3000,1904,0
69,800,629.68,0,Plant,Going,Harbor,600,3000,2040,0
70,800,666.72,0,Plant,Going,Harbor,450,3000,2176,0
71,800,703.76,0,Plant,Going,Harbor,300,3000,2312,0
72,800,740.8,0,Plant,Going,Harbor,150,3000,2448,0
73,800,777.84,0,Plant,Going,Harbor,150,3000,2584,0
74,800,800,0,Plant,Wait_P,Harbor,150,3000,2720,0
75,800,800,0,Plant,Wait_P,Harbor,150,3000,2856,0
76,800,800,0,Plant,Wait_P,Harbor,150,3000,2992,0
77,800,800,0,Plant,Wait_P,Harbor,150,3000,3000,0
78,800,800,0,Plant,Wait_P,Going,150,3000,3000,136.9863014
79,800,800,37.04,Plant,Wait_P,Going,150,3000,3000,273.9726027
80,800,800,74.08,Plant,Wait_P,Going,150,3000,3000,410.9589041
81,800,800,111.12,Plant,Wait_P,Going,150,3000,3000,547.9452055
82,800,800,148.16,Plant,Wait_P,Going,150,3000,3000,684.9315068
83,800,800,185.2,Plant,Wait_P,Going,150,3000,3000,821.9178082
84,800,800,222.24,Plant,Wait_P,Going,150,3000,3000,958.9041096
85,800,800,259.28,Plant,Wait_P,Going,150,3000,3000,1095.890411
86,800,800,296.32,Plant,Wait_P,Going,150,3000,3000,1232.876712
87,800,800,333.36,Plant,Wait_P,Going,150,3000,3000,1369.863014
88,800,800,370.4,Plant,Wait_P,Going,150,3000,3000,1506.849315
89,800,800,407.44,Plant,Wait_P,Going,150,3000,3000,1643.835616
90,800,800,444.48,Plant,Wait_P,Going,150,3000,3000,1780.821918
91,800,800,481.52,Plant,Wait_P,Going,150,3000,3000,1917.808219
92,800,800,518.56,Plant,Wait_P,Going,150,3000,3000,2054.794521
93,800,800,555.6,Plant,Wait_P,Going,150,3000,3000,2191.780822
94,800,800,592.64,Plant,Wait_P,Going,150,3000,3000,2328.767123
95,800,800,629.68,Plant,Wait_P,Going,150,3000,3000,2465.753425
96,800,800,666.72,Plant,Wait_P,Going,150,3000,3000,2602.739726
97,800,800,703.76,Plant,Wait_P,Going,150,3000,3000,2739.726027
98,800,800,740.8,Plant,Wait_P,Going,150,3000,3000,2876.712329
99,800,800,777.84,Plant,Wait_P,Going,150,3000,3000,3013.69863
100,800,800,800,Plant,Wait_P,Wait_P,150,3000,3000,3150.684932
101,800,800,800,Plant,Wait_P,Wait_P,150,3000,3000,3287.671233
102,800,800,800,Return,Plant,Wait_P,0,3000,3000,3424.657534
103,762.96,800,800,Return,Plant,Wait_P,0,3000,3000,3561.643836
104,725.92,800,800,Return,Plant,Wait_P,0,3000,3000,3698.630137
105,688.88,800,800,Return,Plant,Wait_P,0,3000,3000,3835.616438
106,651.84,800,800,Return,Plant,Wait_P,0,3000,3000,3972.60274
107,614.8,800,800,Return,Plant,Wait_P,0,3000,3000,4109.589041
108,577.76,800,800,Return,Plant,Wait_P,0,2850,3000,4246.575342
109,540.72,800,800,Return,Plant,Wait_P,0,2700,3000,4383.561644
110,503.68,800,800,Return,Plant,Wait_P,0,2550,3000,4520.547945
111,466.64,800,800,Return,Plant,Wait_P,0,2400,3000,4657.534247
112,429.6,800,800,Return,Plant,Wait_P,0,2250,3000,4794.520548
113,392.56,800,800,Return,Plant,Wait_P,0,2100,3000,4931.506849
114,355.52,800,800,Return,Plant,Wait_P,0,1950,3000,5068.493151
115,318.48,800,800,Return,Plant,Wait_P,0,1800,3000,5205.479452
116,281.44,800,800,Return,Plant,Wait_P,0,1650,3000,5342.465753
117,244.4,800,800,Return,Plant,Wait_P,0,1500,3000,5479.452055
118,207.36,800,800,Return,Plant,Wait_P,0,1350,3000,5616.438356
119,170.32,800,800,Return,Plant,Wait_P,0,1200,3000,5753.424658
120,133.28,800,800,Return,Plant,Wait_P,0,1050,3000,5890.410959
121,96.24,800,800,Return,Plant,Wait_P,0,900,3000,6027.39726
122,59.2,800,800,Return,Plant,Wait_P,0,750,3000,6164.383562
123,22.16,800,800,Return,Plant,Wait_P,0,600,3000,6301.369863
124,0,800,800,Harbor,Plant,Wait_P,0,450,3000,5938.356164
125,0,800,800,Harbor,Plant,Wait_P,0,300,3000,5575.342466
126,0,800,800,Harbor,Plant,Wait_P,0,150,3000,5212.328767
127,0,800,800,Harbor,Return,Plant,500,0,3000,4849.315068
128,0,762.96,800,Harbor,Return,Plant,1000,0,3000,4486.30137
129,0,725.92,800,Harbor,Return,Plant,1500,0,3000,4123.287671
130,0,688.88,800,Harbor,Return,Plant,2000,0,3000,3760.273973
131,0,651.84,800,Harbor,Return,Plant,2500,0,3000,3397.260274
132,0,614.8,800,Harbor,Return,Plant,3000,0,3000,3034.246575
133,0,577.76,800,Going,Return,Plant,3000,0,3000,3171.232877
134,37.04,540.72,800,Going,Return,Plant,3000,0,3000,3308.219178
135,74.08,503.68,800,Going,Return,Plant,3000,0,3000,3445.205479
136,111.12,466.64,800,Going,Return,Plant,3000,0,3000,3582.191781
137,148.16,429.6,800,Going,Return,Plant,3000,0,3000,3719.178082
138,185.2,392.56,800,Going,Return,Plant,3000,0,3000,3856.164384
139,222.24,355.52,800,Going,Return,Plant,3000,0,3000,3993.150685
140,259.28,318.48,800,Going,Return,Plant,3000,0,3000,4130.136986
141,296.32,281.44,800,Going,Return,Plant,3000,0,3000,4267.123288
142,333.36,244.4,800,Going,Return,Plant,3000,0,3000,4404.109589
143,370.4,207.36,800,Going,Return,Plant,3000,0,3000,4541.09589
144,407.44,170.32,800,Going,Return,Plant,3000,0,3000,4678.082192
145,444.48,133.28,800,Going,Return,Plant,3000,0,3000,4815.068493
146,481.52,96.24,800,Going,Return,Plant,3000,0,3000,4952.054795
147,518.56,59.2,800,Going,Return,Plant,3000,0,3000,5089.041096
148,555.6,22.16,800,Going,Return,Plant,3000,0,3000,5226.027397
149,592.64,0,800,Going,Harbor,Plant,3000,0,3000,4863.013699
150,629.68,0,800,Going,Harbor,Plant,3000,0,3000,4500
151,666.72,0,800,Going,Harbor,Plant,3000,0,3000,4136.986301
152,703.76,0,800,Going,Harbor,Plant,3000,500,3000,3773.972603
153,740.8,0,800,Going,Harbor,Plant,3000,1000,3000,3410.958904
154,777.84,0,800,Going,Harbor,Plant,3000,1500,3000,3047.945205
155,800,0,800,Wait_P,Harbor,Plant,3000,2000,3000,2684.931507
156,800,0,800,Wait_P,Harbor,Plant,3000,2500,2850,2321.917808
157,800,0,800,Wait_P,Harbor,Plant,3000,3000,2850,1958.90411
158,800,0,800,Wait_P,Going,Plant,3000,3000,2850,2095.890411
159,800,37.04,800,Wait_P,Going,Plant,3000,3000,2850,2232.876712
160,800,74.08,800,Wait_P,Going,Plant,3000,3000,2850,2369.863014
161,800,111.12,800,Wait_P,Going,Plant,3000,3000,2850,2506.849315
162,800,148.16,800,Wait_P,Going,Plant,3000,3000,2850,2643.835616
163,800,185.2,800,Wait_P,Going,Plant,3000,3000,2850,2780.821918
164,800,222.24,800,Wait_P,Going,Plant,3000,3000,2850,2917.808219
165,800,259.28,800,Wait_P,Going,Plant,3000,3000,2850,3054.794521
166,800,296.32,800,Wait_P,Going,Plant,3000,3000,2850,3191.780822
167,800,333.36,800,Wait_P,Going,Plant,3000,3000,2850,3328.767123
168,800,370.4,800,Wait_P,Going,Plant,3000,3000,2700,3465.753425
169,800,407.44,800,Wait_P,Going,Plant,3000,3000,2550,3602.739726
170,800,444.48,800,Wait_P,Going,Plant,3000,3000,2400,3739.726027
171,800,481.52,800,Wait_P,Going,Plant,3000,3000,2250,3876.712329
172,800,518.56,800,Wait_P,Going,Plant,3000,3000,2100,4013.69863
173,800,555.6,800,Wait_P,Going,Plant,3000,3000,1950,4150.684932
174,800,592.64,800,Wait_P,Going,Plant,3000,3000,1800,4287.671233
175,800,629.68,800,Wait_P,Going,Plant,3000,3000,1650,4424.657534
176,800,666.72,800,Wait_P,Going,Plant,3000,3000,1500,4561.643836
177,800,703.76,800,Wait_P,Going,Plant,3000,3000,1350,4698.630137
178,800,740.8,800,Wait_P,Going,Plant,3000,3000,1200,4835.616438
179,800,777.84,800,Wait_P,Going,Plant,3000,3000,1050,4972.60274
180,800,800,800,Wait_P,Wait_P,Plant,3000,3000,900,5109.589041
181,800,800,800,Wait_P,Wait_P,Plant,3000,3000,750,5246.575342
182,800,800,800,Wait_P,Wait_P,Plant,3000,3000,600,5383.561644
183,800,800,800,Wait_P,Wait_P,Plant,3000,3000,450,5520.547945
184,800,800,800,Wait_P,Wait_P,Plant,3000,3000,300,5657.534247
185,800,800,800,Wait_P,Wait_P,Plant,3000,3000,150,5794.520548
186,800,800,800,Wait_P,Wait_P,Return,3000,3000,0,5931.506849
187,800,800,762.96,Plant,Wait_P,Return,3000,3000,0,6068.493151
188,800,800,725.92,Plant,Wait_P,Return,3000,3000,0,6205.479452
189,800,800,688.88,Plant,Wait_P,Return,3000,3000,0,6342.465753
190,800,800,651.84,Plant,Wait_P,Return,3000,3000,0,6479.452055
191,800,800,614.8,Plant,Wait_P,Return,3000,3000,0,6616.438356
192,800,800,577.76,Plant,Wait_P,Return,3000,3000,0,6753.424658
193,800,800,540.72,Plant,Wait_P,Return,2850,3000,0,6890.410959
194,800,800,503.68,Plant,Wait_P,Return,2700,3000,0,7027.39726
195,800,800,466.64,Plant,Wait_P,Return,2550,3000,0,7164.383562
196,800,800,429.6,Plant,Wait_P,Return,2400,3000,0,7301.369863
197,800,800,392.56,Plant,Wait_P,Return,2250,3000,0,7438.356164
198,800,800,355.52,Plant,Wait_P,Return,2100,3000,0,7575.342466
199,800,800,318.48,Plant,Wait_P,Return,1950,3000,0,7712.328767
200,800,800,281.44,Plant,Wait_P,Return,1800,3000,0,7849.315068
201,800,800,244.4,Plant,Wait_P,Return,1650,3000,0,7986.30137
202,800,800,207.36,Plant,Wait_P,Return,1500,3000,0,8123.287671
203,800,800,170.32,Plant,Wait_P,Return,1350,3000,0,8260.273973
204,800,800,133.28,Plant,Wait_P,Return,1200,3000,0,8397.260274
205,800,800,96.24,Plant,Wait_P,Return,1050,3000,0,8534.246575
206,800,800,59.2,Plant,Wait_P,Return,900,3000,0,8671.232877
